./15-puzzle.ucs1 15
Profundidad |   Numero de estados |     Factor de ramificacion
0               1               inf
1               2               2.000000
2               6               3.000000
3               18              3.000000
4               58              3.222222
5               186             3.206897
6               602             3.236559
7               1946            3.232558
8               6298            3.236382
9               20378           3.235630
10              65946           3.236137
11              213402          3.236011
12              690586          3.236080
13              2234778         3.236060
14              7231898         3.236070
15              23402906                3.236067
16              75733402                3.236068
Killed
